city_id,sub_district_id,name,raw_office_name,office_type
1,1,Achalapur,Achalapur B.O,B.O
2,1,Ada,Ada B.O,B.O
3,2,Adegaon,Adegaon B.O,B.O
4,3,Adilabad Collectorate,Adilabad Collectorate S.O,S.O
5,3,Adilabad,Adilabad H.O,H.O
6,4,Agm Colony,Agm Colony S.O,S.O
7,1,Ainam,Ainam B.O,B.O
8,5,Aknepalli,Aknepalli B.O,B.O
9,3,Akoli,Akoli B.O,B.O
10,6,Alegaon,Alegaon B.O,B.O
11,7,Aloor,Aloor B.O,B.O
12,8,Ambaripet,Ambaripet B.O,B.O
13,9,Andavelli,Andavelli B.O,B.O
14,5,Andugulpet,Andugulpet B.O,B.O
15,7,Andukur,Andukur B.O,B.O
16,6,Angarajpally,Angarajpally B.O,B.O
17,10,Ankhoda,Ankhoda B.O,B.O
18,3,Ankoli,Ankoli B.O,B.O
19,6,Annaram,Annaram B.O,B.O
20,6,Arepally,Arepally B.O,B.O
21,3,Arli (t),Arli (T) B.O,B.O
22,11,Ashepally,Ashepally B.O,B.O
23,12,Ashta,Ashta B.O,B.O
24,1,Asifabad,Asifabad S.O,S.O
25,6,Asnad,Asnad B.O,B.O
26,6,Awadam,Awadam B.O,B.O
27,1,Babapur,Babapur B.O,B.O
28,13,Babasagar,Babasagar B.O,B.O
29,5,Badampally,Badampally B.O,B.O
30,14,Badankurthy,Badankurthy B.O,B.O
31,1,Bambara,Bambara B.O,B.O
32,7,Bangalpet,Bangalpet B.O,B.O
33,7,Bansapalli,Bansapalli B.O,B.O
34,9,Bapur,Bapur B.O,B.O
35,1,Bareguda,Bareguda B.O,B.O
36,12,Basar S.O (adilabad),Basar S.O (Adilabad),S.O
37,2,Bazar Hathnur,Bazar Hathnur B.O,B.O
38,14,Beernandi,Beernandi B.O,B.O
39,9,Bejjur,Bejjur B.O,B.O
40,3,Bela,Bela B.O,B.O
41,8,Bellalbadi,Bellalbadi B.O,B.O
42,4,Bellampalli R.S.,Bellampalli R.S. S.O,S.O
43,4,Bellampalli,Bellampalli S.O,S.O
44,12,Beltharoda,Beltharoda B.O,B.O
45,3,Bhagyanagar S.O (adilabad),Bhagyanagar S.O (Adilabad),S.O
46,12,Bhainsa S.O (adilabad),Bhainsa S.O (Adilabad),S.O
47,3,Bharampur,Bharampur B.O,B.O
48,6,Bheemaram,Bheemaram S.O,S.O
49,11,Bheempur,Bheempur B.O,B.O
50,3,Bheemsari,Bheemsari B.O,B.O
51,1,Bhimini,Bhimini B.O,B.O
52,12,Bholsa,Bholsa B.O,B.O
53,12,Bhosi,Bhosi B.O,B.O
54,3,Bhuktapur,Bhuktapur S.O,S.O
55,2,Bhutai,Bhutai B.O,B.O
56,1,Bibra,Bibra B.O,B.O
57,12,Bidrelli,Bidrelli B.O,B.O
58,11,Birsaipet,Birsaipet B.O,B.O
59,7,Birvelli,Birvelli B.O,B.O
60,2,Boath,Boath S.O,S.O
61,1,Bodepalli,Bodepalli B.O,B.O
62,12,Boregaon,Boregaon B.O,B.O
63,2,Boregaon,Boregaon B.O,B.O
64,7,Borigaon,Borigaon B.O,B.O
65,1,Boyapalli,Boyapalli B.O,B.O
66,12,Brahmangaon,Brahmangaon B.O,B.O
67,5,Budakalan,Budakalan B.O,B.O
68,5,Budakurd,Budakurd B.O,B.O
69,15,Buggaram,Buggaram B.O,B.O
70,1,Burguda,Burguda B.O,B.O
71,1,Chakepalli,Chakepalli B.O,B.O
72,3,Chanda (t),Chanda (T) B.O,B.O
73,5,Chandaram,Chandaram B.O,B.O
74,11,Chandur,Chandur B.O,B.O
75,3,Chaprala,Chaprala B.O,B.O
76,16,Chata,Chata B.O,B.O
77,9,Chedwai,Chedwai B.O,B.O
78,11,Chichdhari Khanapur,Chichdhari Khanapur B.O,B.O
79,12,Chichondi,Chichondi B.O,B.O
80,7,Chincholi (b),Chincholi (B) S.O,S.O
81,3,Chinchughat,Chinchughat B.O,B.O
82,17,Chinnoor,Chinnoor S.O,S.O
83,9,Chintaguda,Chintaguda B.O,B.O
84,5,Chintaguda,Chintaguda B.O,B.O
85,9,Chintakunta,Chintakunta B.O,B.O
86,9,Chintalamanepalli,Chintalamanepalli B.O,B.O
87,2,Chintalbori,Chintalbori B.O,B.O
88,7,Chintalchanda,Chintalchanda B.O,B.O
89,1,Chirrakunta,Chirrakunta S.O,S.O
90,7,Chityal,Chityal B.O,B.O
91,18,Chityal,Chityal B.O,B.O
92,12,Chondi,Chondi B.O,B.O
93,11,Chorpalli,Chorpalli B.O,B.O
94,19,Coal Chemical Complex,Coal Chemical Complex S.O,S.O
95,3,Cotton Market,Cotton Market B.O,B.O
96,9,Dabba,Dabba B.O,B.O
97,5,Dandepalli,Dandepalli S.O,S.O
98,11,Dantanpalli,Dantanpalli B.O,B.O
99,11,Dasnapur,Dasnapur B.O,B.O
100,3,Dasnapur Colony  D.S.O,Dasnapur Colony  D.S.O,S.O
101,3,Dasnapur Colony,Dasnapur Colony S.O,S.O
102,8,Dasturabad,Dasturabad B.O,B.O
103,3,Deepaiguda,Deepaiguda B.O,B.O
104,2,Dehgaon,Dehgaon B.O,B.O
105,1,Dehgaon,Dehgaon B.O,B.O
106,12,Dehgaon,Dehgaon B.O,B.O
107,1,Devaiguda,Devaiguda B.O,B.O
108,1,Devapur,Devapur B.O,B.O
109,3,Devapur,Devapur B.O,B.O
110,5,Devapur Cement Works,Devapur Cement Works S.O,S.O
111,6,Dewalwada,Dewalwada B.O,B.O
112,11,Dhaba,Dhaba B.O,B.O
113,11,Dhaboli,Dhaboli B.O,B.O
114,7,Dhani,Dhani B.O,B.O
115,2,Dhannoor,Dhannoor B.O,B.O
116,11,Dhanora(b),Dhanora(B) B.O,B.O
117,5,Dharmaram,Dharmaram B.O,B.O
118,5,Dharmaraopet,Dharmaraopet B.O,B.O
119,9,Dhorpalli,Dhorpalli B.O,B.O
120,14,Dilawarpur,Dilawarpur B.O,B.O
121,7,Dilawarpur,Dilawarpur S.O,S.O
122,9,Dimda,Dimda B.O,B.O
123,7,Dimmadurthy,Dimmadurthy B.O,B.O
124,12,Doderna,Doderna B.O,B.O
125,5,Donabanda,Donabanda S.O,S.O
126,5,Dowdepally,Dowdepally B.O,B.O
127,6,Dugnepally,Dugnepally B.O,B.O
128,5,Dwaraka,Dwaraka B.O,B.O
129,1,Dwarakapur,Dwarakapur B.O,B.O
130,10,Easgaon - V,Easgaon - V B.O,B.O
131,9,Easgaon Camp,Easgaon Camp B.O,B.O
132,2,Echoda,Echoda S.O,S.O
133,12,Elegaon,Elegaon B.O,B.O
134,12,Elvi,Elvi B.O,B.O
135,5,Gadapur,Gadapur B.O,B.O
136,7,Gadchanda,Gadchanda B.O,B.O
137,11,Gadiguda,Gadiguda B.O,B.O
138,3,Gandhi Chowk S.O (adilabad),Gandhi Chowk S.O (Adilabad),S.O
139,1,Gangapur,Gangapur B.O,B.O
140,2,Ghanpur,Ghanpur B.O,B.O
141,11,Ghanpur,Ghanpur B.O,B.O
142,3,Ghotkuri,Ghotkuri B.O,B.O
143,1,Ginnedhari,Ginnedhari B.O,B.O
144,11,Ginnera,Ginnera B.O,B.O
145,2,Girjam,Girjam B.O,B.O
146,2,Girnoor,Girnoor B.O,B.O
147,5,Girvelli,Girvelli B.O,B.O
